ProviderOpID,ProviderName,Sduration,Price,Core,Ram,Capacity,Bandwidth,PricePoint,CPUPoint,RAMPoint,BandPoint,AveragePoint
1,bluehost,NULL,19.99,2,2.0,30.0,1024.0,NULL,NULL,NULL,NULL,NULL
2,bluehost,NULL,29.99,2,4.0,60.0,2048.0,NULL,NULL,NULL,NULL,NULL
3,bluehost,NULL,59.99,4,8.0,120.0,3072.0,NULL,NULL,NULL,NULL,NULL
4,hostgator,NULL,NULL,4000,4.0,4.0,4.0,NULL,NULL,NULL,NULL,NULL
5,hostinger,NULL,NULL,NULL,1.0,1.0,1.0,NULL,NULL,NULL,NULL,NULL
6,hostinger,NULL,NULL,NULL,2.0,2.0,2.0,NULL,NULL,NULL,NULL,NULL
7,hostinger,NULL,NULL,NULL,3.0,3.0,3.0,NULL,NULL,NULL,NULL,NULL
8,hostinger,NULL,NULL,NULL,4.0,4.0,4.0,NULL,NULL,NULL,NULL,NULL
9,hostinger,NULL,NULL,NULL,6.0,6.0,6.0,NULL,NULL,NULL,NULL,NULL
10,hostinger,NULL,NULL,NULL,8.0,8.0,8.0,NULL,NULL,NULL,NULL,NULL
11,hostinger,NULL,NULL,NULL,12.0,12.0,12.0,NULL,NULL,NULL,NULL,NULL
12,hostinger,NULL,NULL,NULL,16.0,16.0,16.0,NULL,NULL,NULL,NULL,NULL
13,godaddy,NULL,NULL,1,1.0,20.0,NULL,NULL,NULL,NULL,NULL,NULL
14,godaddy,NULL,NULL,2,4.0,100.0,NULL,NULL,NULL,NULL,NULL,NULL
15,godaddy,NULL,NULL,4,8.0,200.0,NULL,NULL,NULL,NULL,NULL,NULL
16,godaddy,NULL,NULL,8,16.0,400.0,NULL,NULL,NULL,NULL,NULL,NULL
17,godaddy,NULL,NULL,1,2.0,40.0,NULL,NULL,NULL,NULL,NULL,NULL
18,godaddy,NULL,NULL,2,8.0,100.0,NULL,NULL,NULL,NULL,NULL,NULL
19,godaddy,NULL,NULL,4,16.0,200.0,NULL,NULL,NULL,NULL,NULL,NULL
20,godaddy,NULL,NULL,8,32.0,400.0,NULL,NULL,NULL,NULL,NULL,NULL
21,godaddy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,godaddy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,a2hosting,NULL,76.99,2,4.0,150.0,NULL,NULL,NULL,NULL,NULL,NULL
24,a2hosting,NULL,69.99,6,8.0,250.0,NULL,NULL,NULL,NULL,NULL,NULL
25,a2hosting,NULL,67.99,8,16.0,450.0,NULL,NULL,NULL,NULL,NULL,NULL
26,a2hosting,NULL,59.99,2,8.0,150.0,NULL,NULL,NULL,NULL,NULL,NULL
27,a2hosting,NULL,189.99,6,16.0,250.0,NULL,NULL,NULL,NULL,NULL,NULL
28,a2hosting,NULL,99.99,8,32.0,450.0,NULL,NULL,NULL,NULL,NULL,NULL
29,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,dedicatedcore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,domainracer,NULL,16.52,2,NULL,40.0,4096.0,NULL,NULL,NULL,NULL,NULL
38,domainracer,NULL,10.28,1,NULL,20.0,2048.0,NULL,NULL,NULL,NULL,NULL
39,domainracer,NULL,31.99,3,NULL,80.0,8192.0,NULL,NULL,NULL,NULL,NULL
40,ionos,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,ionos,NULL,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,ionos,NULL,120,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,ionos,NULL,138,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,ionos,NULL,240,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,ionos,NULL,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,ionos,NULL,12,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,ionos,NULL,160,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,ionos,NULL,24,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,ionos,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,ionos,NULL,10,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,ionos,NULL,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,ionos,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
