PType,ProviderName,NumberOfOption,GetAppPoint
host,bluehost,3,4.1
host,bluehost,3,4.1
host,bluehost,3,4.1
host,hostgator,1,3.9
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,hostinger,8,4.6
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,godaddy,10,4.2
host,a2hosting,6,4.1
host,a2hosting,6,4.1
host,a2hosting,6,4.1
host,a2hosting,6,4.1
host,a2hosting,6,4.1
host,a2hosting,6,4.1
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,dedicatedcore,8,0
host,domainracer,1,0
host,domainracer,2,0
host,domainracer,2,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
host,ionos,13,0
drive,sync,3,4.9
drive,sync,3,4.9
drive,sync,3,4.9
drive,sync,3,4.9
drive,sync,3,4.9
drive,sync,3,4.9
drive,icedrive,1,0
drive,icedrive,3,0
drive,icedrive,3,0
drive,icedrive,3,0
drive,polarbackup,3,0
drive,polarbackup,3,0
drive,polarbackup,3,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,zoolz,11,0
drive,idrive,5,4.6
drive,idrive,5,4.6
drive,idrive,5,4.6
drive,idrive,5,4.6
drive,idrive,5,4.6
drive,opendrive,1,0
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
vm,paperspace,28,3.4
